"species","common_name","sci_name","phylo_name","Bmass","logBm","social_monogamy","nbrood","avgbrood","avgsire","pmult","pred_pmult","resid_pmult","mean.q","mean.nmates","taxa"
"Spotted-tailed quoll, Dasyurus maculatus","Spotted-tailed quoll","Dasyurus maculatus","Dasyurus_maculatus",3284.15,3.516,"xmono",6,5,1.8,0.667,0.687936463,0.020936463,0.388966305,6.562201667,"mammal"
"Striped field mouse, Apodemus agrarius","Striped field mouse","Apodemus agrarius","Apodemus_agrarius",21.11,1.324,"xmono",44,6.5,1.8,0.636,0.741702916,0.105702916,0.310146982,7.604307727,"mammal"
"Striped hyena, Hyaena hyaena","Striped hyena","Hyaena hyaena","Hyaena_hyaena",35070.51,4.545,"xmono",4,2.5,1.5,0.5,0.526932741,0.026932741,0.513443913,4.190835,"mammal"
"Stuart's antechinus, Antechinus stuartii","Stuart's antechinus","Antechinus stuartii","Antechinus_stuartii",29.1,1.464,"xmono",39,4.4,2.8,0.923,0.658143256,-0.264856744,0.553592295,6.283153077,"mammal"
"Swamp antechinus, Antechinus minimus","Swamp antechinus","Antechinus minimus","Antechinus_minimus",52.56,1.721,"xmono",10,6.1,2,0.8,0.73257112,-0.06742888,0.401039865,7.477418,"mammal"
"Tundra vole, Microtus oeconomus","Tundra vole","Microtus oeconomus","Microtus_oeconomus",33.1,1.52,"xmono",21,5.3,1.6,0.381,0.702758465,0.321758465,0.368181297,6.45812,"mammal"
"Ural field mouse, Apodemus uralensis","Ural field mouse","Apodemus uralensis","Apodemus_uralensis",18.26,1.262,"xmono",46,5,1.4,0.435,0.687936463,0.252936463,0.342675235,6.198628478,"mammal"
"Virginia opossum, Didelphis virginiana","Virginia opossum","Didelphis virginiana","Didelphis_virginiana",2442.08,3.388,"xmono",64,8.7,1.4,0.406,0.7341298,0.3281298,0.219449849,9.548763906,"mammal"
"Western European hedgehog, Erinaceus europaeus","Western European hedgehog","Erinaceus europaeus","Erinaceus_europaeus",777.95,2.891,"xmono",5,5,1.4,0.4,0.687936463,0.287936463,0.382937807,5.713492,"mammal"
"White-tailed deer, Odocoileus virginianus","White-tailed deer","Odocoileus virginianus","Odocoileus_virginianus",75901.25,4.88,"xmono",27,2,1.4,0.37,0.424142339,0.054142339,0.594183657,3.553291389,"mammal"
"White-tailed deer, Odocoileus virginianus","White-tailed deer","Odocoileus virginianus","Odocoileus_virginianus",75901.25,4.88,"xmono",27,2.1,1.3,0.259,0.447446101,0.188446101,0.594183657,3.553291389,"mammal"
"White-toothed shrew, Crocidura russula","White-toothed shrew","Crocidura russula","Crocidura_russula",9.89,0.995,"xmono",42,2.3,1,0,0.489929151,0.489929151,0.537715971,3.700466429,"mammal"
